PSU	LC	Mate	NEM 	OC	OH	Buenas	Malas	Omitidas	Nota	Calculo	 R1 	R2 	R3 	R4 
669.8	710	678	620	677	0	29	6	5	731	731	69.2	92.3	62.5	50
667.4	674	756	496	684	0	31	1	8	762	762	84.6	53.8	87.5	100
693.8	659	718	682	684	0	27	6	7	712	712	84.6	46.2	75	66.7
669.65	576	682	723	668	0	25	10	5	683	683	61.5	61.5	50	83.3
666.55	582	682	723	625	0	33	6	1	769	769	84.6	84.6	75	83.3
661.2	667	718	558	652	0	30	5	5	743	743	84.6	61.5	75	83.3
677.6	732	669	661	649	0	18	6	16	626	626	46.2	38.5	37.5	66.7
687.1	614	718	702	657	0	29	9	2	724	724	69.2	69.2	75	83.3
676.2	732	669	661	635	0	29	5	6	733	733	61.5	76.9	75	83.3
673.8	682	660	702	649	0	23	12	5	660	660	76.9	46.2	37.5	66.7
660.55	682	678	599	693	0	27	7	6	709	709	76.9	61.5	75	50
670.85	674	694	641	635	0	32	6	2	759	759	76.9	76.9	75	100
669.3	626	701	641	684	0	29	4	7	736	736	76.9	76.9	50	83.3
664.7	567	694	702	635	0	29	5	6	733	733	84.6	69.2	50	83.3
660.2	633	701	579	734	622	35	3	2	795	795	92.3	84.6	75	100
695.45	651	706	723	668	613	28	7	5	719	719	76.9	53.8	75	83.3
659.95	597	694	661	573	630	23	3	14	681	681	61.5	53.8	37.5	83.3
687.65	626	701	702	715	0	27	3	10	719	719	69.2	46.2	75	100
659.65	682	660	641	660	0	19	14	7	617	617	61.5	23.1	37.5	83.3
687.2	721	694	620	757	0	23	8	9	669	669	61.5	38.5	62.5	83.3
662.95	626	718	599	649	0	23	9	8	667	667	53.8	61.5	50	66.7
668.55	557	688	723	668	0	28	4	8	726	726	76.9	69.2	62.5	66.7
718.75	700	774	661	652	626	33	6	1	769	769	76.9	84.6	75	100
677.1	645	682	702	657	0	19	2	19	645	645	53.8	30.8	50	66.7
689.55	674	718	661	664	0	22	4	14	669	669	76.9	23.1	50	83.3
670.3	620	737	579	699	0	34	5	1	781	781	76.9	92.3	75	100
676.55	572	756	641	617	0	30	4	6	745	745	76.9	61.5	75	100
714.45	691	756	661	708	0	21	10	9	645	645	61.5	46.2	62.5	33.3
683.65	659	718	661	635	0	25	2	13	702	702	69.2	61.5	25	100
